Country,Year,Waste,Income,Education,Women,Household,Age,Urban
Hungary,2021,499.6893194263071,6619.0,25.4,73.6,2.3,43.7,0.7224500254431281
Malta,2021,381.1395687486161,17036.0,29.6,68.4,2.4,40.2,0.948100035484518
Austria,2021,508.271926905675,27428.0,31.8,71.3,2.2,43.6,0.589949950853062
Poland,2021,362.8661721571488,8297.0,29.4,68.5,2.8,41.9,0.6007500068084657
Portugal,2021,509.78038893175005,11089.0,26.2,72.7,2.5,46.3,0.6684899608959073
Romania,2021,228.2230785101739,4830.0,16.4,56.9,2.5,43.0,0.5432899772979468
Slovenia,2021,304.0434943431793,15415.0,35.4,72.6,2.5,44.4,0.5542700249848321
Slovakia,2021,455.3135927590737,8473.0,24.7,70.4,2.9,41.4,0.538199938427613
Finland,2021,375.00512860603953,25456.0,35.5,75.8,1.9,43.3,0.8559600160042823
Sweden,2021,430.32895023165554,25498.0,39.6,77.7,2.0,40.6,0.8823799702202738
Norway,2021,446.8837866587627,35911.0,40.6,77.5,2.0,40.2,0.8332299124312172
Türkiye,2021,329.6060166703933,2771.0,20.4,34.2,3.2,32.8,0.7656900009576063
Belgium,2022,413.80254807717546,27314.0,40.2,68.1,2.3,41.9,0.9815299986804512
Bulgaria,2022,389.5275329642155,5378.0,26.3,72.1,2.3,46.7,0.7636299965800977
Czechia,2022,409.9185229749198,12146.0,23.5,73.7,2.3,43.8,0.7437699808041852
Denmark,2022,554.9266015370943,33260.0,35.0,77.4,2.0,42.3,0.8836700498404465
Germany,2022,436.4429025683299,24925.0,27.9,76.7,2.0,45.8,0.7764799953125364
Estonia,2022,436.43846354847136,14827.0,36.7,80.4,2.1,42.6,0.6960899736069511
Ireland,2022,356.9903208539238,30063.0,46.1,72.6,2.7,38.8,0.6418300934043537
Spain,2022,499.1135965808466,16814.0,36.5,63.7,2.5,45.1,0.8130400093431459
France,2022,510.8262714099741,23053.0,36.9,71.2,2.2,42.2,0.8150900017214616
Italy,2022,492.2278762272143,18592.0,18.1,55.0,2.2,48.0,0.7165699941932893
Cyprus,2022,421.8999563393592,17856.0,43.3,73.4,2.6,38.3,0.6691098915850572
Latvia,2022,373.6592746288565,10258.0,34.5,75.5,2.2,44.0,0.6853999424279138
Lithuania,2022,504.0890977114025,10195.0,41.3,78.6,2.0,44.5,0.6846501266580944
